Entropy;Clasification
4,21777031;Surprised
3,98438997;Surprised
4,25894099;Surprised
4,23666907;Surprised
4,09834219;Surprised
4,21199195;Surprised
4,1518803;Surprised
4,31236498;Surprised
3,4179991;Happy
3,17465138;Happy
4,29547947;Happy
4,38803072;Happy
4,12336912;Happy
3,30004572;Happy
3,02364446;Happy
4,07219516;Happy
3,76323074;fearful
3,52408826;fearful
4,08254459;fearful
4,14797812;fearful
3,04085175;fearful
4,23593113;fearful
4,05700511;fearful
3,91767443;fearful
2,45594065;sad
3,36148214;sad
4,17270024;sad
4,20831019;sad
2,62033666;sad
3,91567334;sad
3,52900273;sad
2,92214913;sad
3,47388794;calm
3,20163758;calm
3,87953202;calm
3,37792741;calm
4,26904925;calm
4,01299026;calm
3,55566979;calm
3,72504299;calm
4,06724941;angry
4,24502288;angry
4,3053093;angry
4,14066384;angry
3,83011135;angry
4,32347832;angry
4,10261588;angry
4,22414406;angry
3,4866372;sad
3,8884741;sad
4,16787581;sad
3,96640511;sad
2,51635429;sad
3,88843565;sad
3,27632609;sad
2,79846829;sad
4,10318082;Surprised
4,05465821;Surprised
3,99054484;Surprised
3,95818836;Surprised
3,99735904;Surprised
4,07136723;Surprised
4,03302991;Surprised
4,05924558;Surprised
3,91767018;Happy
4,00104337;Happy
4,15419477;Happy
3,77761386;Happy
3,21087603;Happy
3,0650621;Happy
4,27611898;Happy
4,29879625;Happy
3,87013182;fearful
4,12500372;fearful
3,92566405;fearful
3,88201704;fearful
4,00434359;fearful
4,1487088;fearful
3,92759065;fearful
3,97362343;fearful
3,25346473;sad
3,5641448;sad
3,92762102;sad
4,08728961;sad
2,84934972;sad
3,21099783;sad
4,14477137;sad
4,07289188;sad
3,90216077;calm
3,22778754;calm
4,22378407;calm
3,9964528;calm
3,8522821;calm
3,83297151;calm
3,89662558;calm
3,36182905;calm
3,67712332;angry
3,74697019;angry
4,11840647;angry
3,8583831;angry
3,87374645;angry
4,08300231;angry
4,12746889;angry
4,10722113;angry
2,52244822;sad
2,9740535;sad
4,14052866;sad
4,14204484;sad
3,26150962;sad
3,45481701;sad
3,18163549;sad
3,98102681;sad
2,98890384;Surprised
3,44911348;Surprised
3,58785631;Surprised
3,02525205;Surprised
3,068329;Surprised
3,62823232;Surprised
3,06984436;Surprised
3,27177915;Surprised
2,94085126;Happy
3,07912715;Happy
3,69745296;Happy
3,55489812;Happy
3,8871133;Happy
3,69308779;Happy
3,9502987;Happy
2,86652247;Happy
2,96299838;fearful
2,40487367;fearful
2,55466887;fearful
2,52953535;fearful
3,57067794;fearful
4,0263052;fearful
3,58218523;fearful
2,35982136;fearful
3,83342696;sad
3,00808896;sad
3,36684714;sad
3,71367347;sad
3,07105258;sad
3,46182827;sad
3,81697017;sad
2,94828916;sad
3,7428645;calm
3,60440041;calm
3,50892817;calm
2,44034252;calm
3,75422003;calm
2,78054698;calm
3,9905889;calm
3,25635391;calm
3,53732513;angry
3,06581593;angry
3,27720719;angry
3,79721581;angry
3,86957595;angry
3,59464129;angry
3,11801311;angry
2,43513096;angry
2,97377025;sad
2,99847548;sad
3,70311113;sad
2,79098902;sad
3,77028982;sad
3,65629172;sad
2,86941445;sad
3,61416472;sad
2,86336043;Surprised
3,55476433;Surprised
3,12503986;Surprised
3,90713032;Surprised
3,96533764;Surprised
3,68220972;Surprised
3,91433433;Surprised
4,01494546;Surprised
3,69970166;Happy
3,27211057;Happy
3,90030896;Happy
4,18645294;Happy
3,58686066;Happy
3,2032872;Happy
4,11511851;Happy
2,93982693;Happy
4,10843129;fearful
2,85767303;fearful
4,30002311;fearful
4,17609884;fearful
2,87629817;fearful
2,9358154;fearful
4,27466847;fearful
3,97016859;fearful
2,92434707;sad
3,58778887;sad
4,29172375;sad
4,17815482;sad
3,68195558;sad
3,1684406;sad
4,01152615;sad
3,65846884;sad
3,99806363;calm
3,21782084;calm
3,77160473;calm
3,66262075;calm
3,69720826;calm
2,88647147;calm
3,38554588;calm
2,79528151;calm
3,57777647;angry
3,23659886;angry
4,25692468;angry
4,28976314;angry
2,96059869;angry
3,78934686;angry
4,21250304;angry
4,2356916;angry
3,37098756;sad
3,7628816;sad
4,08118921;sad
4,23588152;sad
3,48971525;sad
2,78597574;sad
3,15691765;sad
4,07146942;sad
3,5620917;Surprised
3,74013181;Surprised
4,18827811;Surprised
3,89893583;Surprised
3,40131726;Surprised
4,19969999;Surprised
4,02448804;Surprised
4,29026928;Surprised
3,84501081;Happy
3,81998594;Happy
4,1489639;Happy
4,30619989;Happy
3,95406265;Happy
3,31910483;Happy
3,53992286;Happy
4,2052429;Happy
4,260179;fearful
4,12597517;fearful
4,23955715;fearful
4,15435916;fearful
4,17713422;fearful
4,38054447;fearful
4,24634062;fearful
4,08657644;fearful
3,43665956;sad
2,68468197;sad
4,23917887;sad
4,18090532;sad
3,53196623;sad
3,08940901;sad
3,76970978;sad
3,88059068;sad
3,89738924;calm
3,83184856;calm
4,0015324;calm
3,67028603;calm
3,53378448;calm
3,95483125;calm
3,96073076;calm
4,18483882;calm
3,54781686;angry
3,73848475;angry
4,43782847;angry
3,85949549;angry
4,07351435;angry
3,26645083;angry
4,27858903;angry
4,34169737;angry
3,69544924;sad
3,28279504;sad
4,23129723;sad
3,97244297;sad
3,43775423;sad
3,34316466;sad
3,85560526;sad
3,5655502;sad
2,98634002;Surprised
2,7532226;Surprised
3,56137875;Surprised
3,71677989;Surprised
2,4667433;Surprised
3,51774478;Surprised
4,1364349;Surprised
2,5265074;Surprised
3,90425894;Happy
3,21154262;Happy
4,24559628;Happy
3,38106173;Happy
3,57038606;Happy
3,22339334;Happy
3,34169336;Happy
3,61263234;Happy
3,68251742;fearful
4,18566402;fearful
3,05467433;fearful
3,96020012;fearful
3,20265585;fearful
3,95132717;fearful
3,86947488;fearful
3,73858058;fearful
3,15040875;sad
3,3564411;sad
4,00873713;sad
3,66158846;sad
3,04801476;sad
3,25482694;sad
3,49101612;sad
3,82905397;sad
3,65960548;calm
3,6461987;calm
4,38602177;calm
3,8966807;calm
3,89272142;calm
3,77004729;calm
4,21945558;calm
3,41175644;calm
4,1761031;angry
4,00101478;angry
4,14822967;angry
4,01292052;angry
3,40345889;angry
3,99637048;angry
3,90311199;angry
4,25699952;angry
3,9525714;sad
4,18683722;sad
3,91320613;sad
4,00970486;sad
4,26725618;sad
3,49196092;sad
3,72912009;sad
3,48574827;sad
3,54868144;Surprised
3,31101118;Surprised
3,78840447;Surprised
3,74512229;Surprised
3,82250745;Surprised
3,80206037;Surprised
3,14481228;Surprised
3,92053533;Surprised
3,61643642;Happy
3,50197655;Happy
3,78817751;Happy
3,78817751;Happy
3,40559871;Happy
3,70000457;Happy
2,86956874;Happy
3,35371035;Happy
3,03289838;fearful
3,83929767;fearful
4,0241744;fearful
3,82800351;fearful
3,90077266;fearful
3,82672224;fearful
1,52009628;fearful
3,90619039;fearful
3,08919948;sad
3,95076507;sad
3,59754189;sad
3,74510708;sad
3,98808052;sad
3,21277265;sad
3,96255067;sad
3,65505461;sad
3,85843357;calm
3,81882667;calm
4,15203317;calm
3,73001682;calm
3,71959823;calm
3,65107667;calm
3,69714875;calm
3,99246905;calm
3,0503915;angry
3,19585607;angry
3,518165;angry
3,59818985;angry
3,43174037;angry
3,11719876;angry
4,01902918;angry
4,22395183;angry
3,57780728;sad
3,56609779;sad
3,41410546;sad
3,48337667;sad
3,46519278;sad
3,48341231;sad
3,62997127;sad
3,5930189;sad
4,06317997;Surprised
4,2983814;Surprised
4,38776522;Surprised
4,40276808;Surprised
4,30142097;Surprised
4,40605609;Surprised
4,37990984;Surprised
4,38853932;Surprised
3,59856303;Happy
4,06315008;Happy
4,32056531;Happy
4,28518448;Happy
3,00071115;Happy
3,10680354;Happy
3,72570901;Happy
3,84613306;Happy
4,1533746;fearful
4,43520655;fearful
4,37595595;fearful
4,48050909;fearful
4,15246451;fearful
2,64622352;fearful
4,40016112;fearful
2,32470834;fearful
3,38516677;sad
3,70116273;sad
4,14163622;sad
3,86926933;sad
3,08843982;sad
3,23757724;sad
3,93592465;sad
3,54245579;sad
3,51547616;calm
3,46893202;calm
3,90453219;calm
3,92707395;calm
3,65414337;calm
3,45392441;calm
4,07967531;calm
2,99526054;calm
4,10222206;angry
4,11182902;angry
4,42225355;angry
4,38255745;angry
3,18616005;angry
4,4611736;angry
4,43075517;angry
4,36096128;angry
3,12327016;sad
4,2147664;sad
2,76568755;sad
4,46008565;sad
3,84475807;sad
3,76474847;sad
4,07191649;sad
3,7877454;sad
4,09558481;Surprised
4,33918836;Surprised
3,68644205;Surprised
4,32079952;Surprised
3,97878908;Surprised
4,21816807;Surprised
4,15430695;Surprised
4,04619404;Surprised
4,30616017;Happy
2,70464139;Happy
4,22712614;Happy
4,27921547;Happy
3,92424407;Happy
4,07580055;Happy
4,01281406;Happy
3,92345049;Happy
4,15811756;fearful
4,10520213;fearful
4,03901456;fearful
4,09121565;fearful
4,0046641;fearful
4,10056867;fearful
3,90378817;fearful
4,01322133;fearful
3,87519456;sad
3,31940841;sad
4,1842558;sad
4,12018805;sad
3,54350448;sad
3,66014488;sad
3,71583455;sad
3,40486236;sad
3,98254196;calm
3,4725682;calm
3,87909944;calm
4,14192593;calm
4,2514662;calm
3,81412791;calm
4,0963146;calm
3,90716061;calm
4,12924997;angry
3,96397197;angry
4,131538;angry
2,97762936;angry
4,03373347;angry
3,94016639;angry
4,26092646;angry
4,27619947;angry
4,20357303;sad
3,99318419;sad
4,39480658;sad
3,97128204;sad
3,41669797;sad
4,11212846;sad
3,90894956;sad
4,06416485;sad
3,9198873;Surprised
4,24765607;Surprised
4,39514057;Surprised
4,38607558;Surprised
4,34807559;Surprised
4,03871409;Surprised
4,39841205;Surprised
4,28426338;Surprised
3,627532;Happy
3,41016376;Happy
4,32114167;Happy
3,71853345;Happy
3,69130928;Happy
3,47858533;Happy
3,63825512;Happy
3,68548405;Happy
4,34320926;fearful
4,28300765;fearful
4,19186752;fearful
4,24251315;fearful
3,73731361;fearful
2,95204684;fearful
4,28270991;fearful
4,40302302;fearful
4,33355839;sad
3,15585558;sad
4,25854419;sad
4,41425611;sad
3,0800488;sad
3,03893482;sad
3,35852952;sad
4,00746829;sad
3,29145563;calm
4,19414203;calm
3,43773272;calm
4,14622592;calm
3,99899009;calm
3,86329984;calm
3,5798797;calm
3,94467455;calm
4,31651374;angry
4,32432076;angry
4,27640493;angry
4,36711611;angry
4,22633536;angry
4,0984596;angry
4,33074934;angry
4,23220007;angry
4,06320744;sad
3,85846532;sad
4,15482352;sad
4,22015072;sad
3,09740216;sad
4,0014935;sad
3,95869454;sad
3,5919963;sad
4,28628834;Surprised
4,31899175;Surprised
4,3568417;Surprised
4,43023317;Surprised
4,3523521;Surprised
4,26269857;Surprised
4,20023112;Surprised
4,38252429;Surprised
4,39013474;Happy
3,7925069;Happy
4,52686436;Happy
4,35436328;Happy
3,4329032;Happy
3,21369449;Happy
4,30359913;Happy
3,6057089;Happy
4,06716947;fearful
4,0333804;fearful
4,39840157;fearful
4,06869271;fearful
2,77529496;fearful
4,1926319;fearful
3,83139177;fearful
4,40840853;fearful
3,37867825;sad
3,20915459;sad
4,0201492;sad
4,17561162;sad
3,45284126;sad
3,43238291;sad
3,35585603;sad
3,36815396;sad
3,7345457;calm
2,86443121;calm
4,44029359;calm
4,35296974;calm
2,82637919;calm
2,76168178;calm
3,43433268;calm
3,4665995;calm
3,25244478;angry
2,64744574;angry
4,31307827;angry
4,14268775;angry
3,09123139;angry
2,77851506;angry
4,30428805;angry
3,85744601;angry
4,09825384;sad
3,77404997;sad
4,04018553;sad
4,38893861;sad
3,55462738;sad
2,90279259;sad
4,21008091;sad
3,98187671;sad
3,34409175;Surprised
3,58576906;Surprised
3,8886354;Surprised
3,79715213;Surprised
3,95186851;Surprised
3,88497135;Surprised
3,88441514;Surprised
3,8380921;Surprised
2,99587287;Happy
2,70503938;Happy
3,56500467;Happy
4,03293302;Happy
2,85343411;Happy
3,50641787;Happy
3,53347511;Happy
3,57046473;Happy
3,89226929;fearful
2,06801976;fearful
4,29325263;fearful
3,72110616;fearful
2,66897123;fearful
3,0413414;fearful
2,03133394;fearful
3,24017543;fearful
2,98300532;sad
3,35190504;sad
4,09672329;sad
4,31269863;sad
3,51026466;sad
3,74290106;sad
3,75533445;sad
3,66231303;sad
3,52718761;calm
3,0966473;calm
4,11182725;calm
3,33523325;calm
3,43126526;calm
3,53934687;calm
3,96152437;calm
3,04929175;calm
2,73731349;angry
3,45767826;angry
4,01337351;angry
4,13737771;angry
3,04421008;angry
3,25506724;angry
2,9648003;angry
3,47348197;angry
3,20284505;sad
3,14672859;sad
3,88305838;sad
4,30396547;sad
3,60859843;sad
3,2374481;sad
3,48965119;sad
3,64423325;sad
4,07205938;Surprised
3,93986153;Surprised
4,30609399;Surprised
4,10286297;Surprised
4,04652626;Surprised
3,63855457;Surprised
4,26996181;Surprised
4,06600573;Surprised
3,52579275;Happy
3,42962758;Happy
4,39978848;Happy
4,0249449;Happy
2,98525687;Happy
3,6021142;Happy
3,88572033;Happy
4,00160977;Happy
3,16667078;fearful
3,27572203;fearful
4,16734974;fearful
4,27896306;fearful
3,45757976;fearful
4,07140944;fearful
4,11693356;fearful
4,1359917;fearful
3,31911051;sad
3,47663018;sad
4,03884458;sad
4,08657686;sad
3,04173932;sad
3,30968738;sad
3,57514421;sad
3,53257976;sad
3,30592096;calm
3,18235072;calm
4,00079681;calm
4,0129737;calm
2,84647902;calm
3,43888006;calm
3,98483318;calm
4,0387372;calm
4,01029365;angry
3,51657812;angry
4,24681291;angry
4,2090043;angry
3,60494628;angry
3,81565708;angry
4,07609994;angry
4,04128411;angry
2,77244472;sad
3,00324529;sad
3,85649136;sad
4,06123556;sad
3,36846603;sad
3,2473512;sad
3,97647501;sad
3,95496934;sad
3,99318302;Surprised
3,90339506;Surprised
3,98635801;Surprised
3,82000784;Surprised
3,75940779;Surprised
4,00614401;Surprised
3,68953692;Surprised
4,08256754;Surprised
3,3792463;Happy
3,18462974;Happy
4,10223081;Happy
3,99879072;Happy
3,68543085;Happy
3,23433369;Happy
3,62664038;Happy
4,04345368;Happy
3,65222449;fearful
3,94686867;fearful
3,77199112;fearful
3,97847375;fearful
3,59383863;fearful
3,42545977;fearful
4,08217887;fearful
3,83227542;fearful
3,05501183;sad
2,99491956;sad
3,98737513;sad
3,80614564;sad
3,55319986;sad
3,54881785;sad
3,92180923;sad
4,31874825;sad
4,0112193;calm
3,23063569;calm
4,02042567;calm
4,17364764;calm
3,53636858;calm
3,55317957;calm
4,09177397;calm
3,8584404;calm
3,88322186;angry
3,97520254;angry
3,86448556;angry
3,95661738;angry
3,78117294;angry
3,98942584;angry
4,06062813;angry
3,85462561;angry
4,08816662;sad
2,87546868;sad
3,7984445;sad
3,94253776;sad
3,54731187;sad
3,57550329;sad
3,54415691;sad
3,79193058;sad
3,67875181;Surprised
3,3124255;Surprised
2,85273858;Surprised
4,04085736;Surprised
3,57160839;Surprised
3,59256638;Surprised
2,85380113;Surprised
2,3455206;Surprised
3,94172152;Happy
3,09661512;Happy
3,09690748;Happy
3,05109806;Happy
3,44437246;Happy
3,16580391;Happy
2,71471563;Happy
3,07932822;Happy
3,40305215;fearful
4,09284341;fearful
3,96570037;fearful
3,42610611;fearful
2,25818902;fearful
2,45937895;fearful
4,13680242;fearful
3,40847842;fearful
3,38314136;sad
3,31342452;sad
3,55619533;sad
3,35231205;sad
3,16858456;sad
2,32061379;sad
3,89296317;sad
3,60510412;sad
2,86259585;calm
3,33787392;calm
2,90864147;calm
3,47454546;calm
3,06190694;calm
3,31786035;calm
3,91479128;calm
3,65845608;calm
3,51519313;angry
3,96721088;angry
4,14207558;angry
2,36798466;angry
2,89317541;angry
3,63044231;angry
2,30170785;angry
3,5160298;angry
2,90011192;sad
3,0481783;sad
4,11464903;sad
3,78261051;sad
3,31398285;sad
3,34054501;sad
4,18793261;sad
2,78910367;sad
3,93787791;Surprised
4,0899277;Surprised
4,18302401;Surprised
3,96112661;Surprised
4,26179941;Surprised
3,80164396;Surprised
4,10800905;Surprised
3,76239512;Surprised
4,06231013;Happy
3,3594373;Happy
3,96539738;Happy
3,92688572;Happy
3,99968018;Happy
3,73019871;Happy
3,94546113;Happy
4,20121301;Happy
4,01614368;fearful
4,13133386;fearful
4,0228623;fearful
4,06206852;fearful
4,03148924;fearful
4,10520426;fearful
4,00296272;fearful
3,50767731;fearful
3,60403695;sad
2,45635477;sad
4,08281155;sad
4,08676278;sad
3,6563395;sad
2,71620682;sad
3,65366524;sad
3,86804717;sad
2,99027215;calm
3,5519477;calm
3,82881616;calm
3,89896075;calm
3,94526154;calm
2,89523044;calm
2,977035;calm
3,1678011;calm
3,86488151;angry
4,13245013;angry
3,96620773;angry
4,07969522;angry
3,90575456;angry
3,40162062;angry
3,97051692;angry
3,99923462;angry
3,95976295;sad
4,16568025;sad
4,16545977;sad
4,07182268;sad
3,69386323;sad
3,72048918;sad
3,99210066;sad
3,76346764;sad
3,95920685;Surprised
4,06649188;Surprised
4,19934943;Surprised
4,31259025;Surprised
3,79049036;Surprised
4,17642591;Surprised
4,30229571;Surprised
4,39994833;Surprised
3,88964169;Happy
3,63124911;Happy
3,93069032;Happy
3,64297056;Happy
2,95632108;Happy
3,07905686;Happy
3,32345928;Happy
3,19405656;Happy
3,44744398;fearful
3,76307767;fearful
4,3074629;fearful
4,42513142;fearful
3,74221947;fearful
3,55367611;fearful
2,7096463;fearful
4,09420362;fearful
3,50746231;sad
3,51709211;sad
4,1398891;sad
3,68427594;sad
3,01366131;sad
3,36250071;sad
2,87983041;sad
3,8758206;sad
3,87046514;calm
3,68645928;calm
3,9421824;calm
3,44919583;calm
3,48180474;calm
3,57077602;calm
3,67624345;calm
3,61623067;calm
3,09793837;angry
2,59112312;angry
4,09205196;angry
4,14238014;angry
2,37634426;angry
3,88268907;angry
2,74955637;angry
4,30799823;angry
2,99376297;sad
3,3199246;sad
4,05377607;sad
3,44506133;sad
3,4935688;sad
3,73690211;sad
3,56594663;sad
3,83583413;sad
3,79412981;Surprised
3,99614597;Surprised
4,13029078;Surprised
4,05630163;Surprised
4,04459757;Surprised
3,96718199;Surprised
4,13319743;Surprised
4,05997319;Surprised
3,73668341;Happy
3,92010532;Happy
4,07811076;Happy
3,95434643;Happy
3,51983714;Happy
3,10884515;Happy
3,62838956;Happy
2,99402426;Happy
3,83896111;fearful
3,86178885;fearful
4,00657201;fearful
4,1871292;fearful
3,49548971;fearful
3,89907775;fearful
4,16653682;fearful
4,0878487;fearful
3,81539667;sad
3,99573056;sad
3,94606107;sad
3,92564676;sad
3,48464231;sad
2,89876174;sad
4,08803983;sad
3,76062827;sad
3,45804745;calm
3,2230664;calm
2,93216439;calm
2,8028941;calm
3,26760974;calm
3,1317421;calm
2,91673547;calm
2,60579622;calm
3,5927047;angry
4,08818298;angry
2,81207124;angry
3,45068627;angry
3,81169767;angry
4,03140105;angry
3,71294072;angry
3,96445651;angry
3,88868397;sad
4,00810084;sad
4,05302783;sad
4,03353787;sad
3,50986951;sad
2,83689039;sad
3,62319073;sad
3,64074196;sad
3,56750982;Surprised
4,14937827;Surprised
3,89788778;Surprised
4,02061382;Surprised
3,94840847;Surprised
3,6869135;Surprised
3,61555935;Surprised
3,80388194;Surprised
3,17925159;Happy
3,53145082;Happy
3,69136419;Happy
2,75528407;Happy
3,85480616;Happy
3,81915577;Happy
3,79113871;Happy
3,27439221;Happy
3,94003587;fearful
4,23167348;fearful
3,40856414;fearful
4,04346683;fearful
2,45203949;fearful
3,14082538;fearful
4,0738026;fearful
4,34297042;fearful
2,69900885;sad
2,76543216;sad
3,69323362;sad
3,54425306;sad
3,6906967;sad
3,15360977;sad
3,62044099;sad
3,49817666;sad
3,93660964;calm
3,08887806;calm
3,47720002;calm
3,17747667;calm
3,6975304;calm
3,27947443;calm
4,11675676;calm
3,65021736;calm
3,82631403;angry
3,9346476;angry
3,47373352;angry
3,83251385;angry
3,93053597;angry
3,59409591;angry
3,81018908;angry
4,15726783;angry
3,68127015;sad
4,12307288;sad
3,85854621;sad
3,92251964;sad
3,22678162;sad
3,68058051;sad
2,48070768;sad
3,18957693;sad
3,8378239;Surprised
3,63196876;Surprised
3,83955829;Surprised
3,81090479;Surprised
3,79324073;Surprised
3,77654464;Surprised
3,68035619;Surprised
3,63511693;Surprised
3,77871166;Happy
3,46430035;Happy
4,15631458;Happy
4,08137101;Happy
3,62463516;Happy
3,29807848;Happy
3,14506958;Happy
3,96366863;Happy
3,92221346;fearful
3,75120843;fearful
3,53213334;fearful
3,95380502;fearful
3,89809601;fearful
3,32483064;fearful
3,76854009;fearful
4,09750625;fearful
3,90943654;sad
2,80739154;sad
4,15746469;sad
3,90075942;sad
3,82912119;sad
3,05974398;sad
3,33403571;sad
3,74942337;sad
3,5517416;calm
3,70288752;calm
3,80146959;calm
3,92545331;calm
3,24926312;calm
3,28753262;calm
2,98849241;calm
3,55952414;calm
3,63881558;angry
4,09379797;angry
4,06302445;angry
4,0165751;angry
3,33006499;angry
3,73597315;angry
3,78911088;angry
4,14839133;angry
3,80706827;sad
2,64575754;sad
3,85813885;sad
3,77526975;sad
3,5240073;sad
4,14450643;sad
2,70918577;sad
3,78552391;sad
4,1112201;Surprised
4,27704194;Surprised
4,37634107;Surprised
4,14058416;Surprised
4,07466626;Surprised
3,97763672;Surprised
4,33913185;Surprised
4,20076614;Surprised
3,73718427;Happy
3,78761505;Happy
4,32892351;Happy
3,87889523;Happy
3,865485;Happy
3,6040757;Happy
3,7639363;Happy
4,07842466;Happy
3,3713239;fearful
3,75849497;fearful
3,95303163;fearful
4,22496469;fearful
4,01046168;fearful
2,76449907;fearful
3,70515167;fearful
4,13452564;fearful
3,75635137;sad
3,54413261;sad
3,98574788;sad
3,58013301;sad
3,70443333;sad
3,42169938;sad
3,94423184;sad
3,39217585;sad
3,93144318;calm
4,08946218;calm
2,55546177;calm
4,34183251;calm
3,97453049;calm
3,85174283;calm
3,65411573;calm
3,9268896;calm
4,13116856;angry
3,8883539;angry
4,2388177;angry
4,10411669;angry
4,28840613;angry
3,8215272;angry
4,14640781;angry
4,26916662;angry
3,83792528;sad
4,03957683;sad
4,02061007;sad
4,10836005;sad
3,57777358;sad
3,73476776;sad
4,0624142;sad
4,05126417;sad
4,37818766;Surprised
4,34660997;Surprised
4,22799466;Surprised
4,25969057;Surprised
4,01319087;Surprised
4,28030917;Surprised
4,26375964;Surprised
4,1954221;Surprised
4,15074762;Happy
4,19982018;Happy
4,28699668;Happy
4,28697384;Happy
3,87625846;Happy
3,54033789;Happy
3,97132149;Happy
4,27824371;Happy
4,25031576;fearful
4,21106269;fearful
4,25213353;fearful
4,12844199;fearful
4,27437281;fearful
3,98695398;fearful
4,23527292;fearful
4,2472718;fearful
3,61956925;sad
3,64403536;sad
4,20843299;sad
4,15049736;sad
3,32557407;sad
3,91584277;sad
3,07171254;sad
4,11729479;sad
3,8366552;calm
3,7994108;calm
4,05141275;calm
4,23519287;calm
4,063798;calm
3,62338208;calm
3,886616;calm
3,79857741;calm
4,04614766;angry
4,09925137;angry
4,3166967;angry
4,13581158;angry
4,01205226;angry
4,24105632;angry
4,25146999;angry
4,25101656;angry
3,85870828;sad
4,26919977;sad
4,03377103;sad
4,26773817;sad
3,41403669;sad
3,05426366;sad
3,90870408;sad
4,09061807;sad
4,20829921;Surprised
4,22815757;Surprised
4,10181891;Surprised
4,17893509;Surprised
4,03453915;Surprised
4,2821466;Surprised
4,06780489;Surprised
4,18643193;Surprised
4,06633579;Happy
4,28907513;Happy
4,10413592;Happy
3,93586182;Happy
4,07137857;Happy
3,79469236;Happy
3,98859888;Happy
3,83094268;Happy
4,05570733;fearful
4,03130207;fearful
4,21295551;fearful
4,22505796;fearful
4,26482036;fearful
4,01065729;fearful
4,1252643;fearful
3,1045352;fearful
3,70169156;sad
3,77240659;sad
3,85335664;sad
3,89622887;sad
2,47702351;sad
3,74900001;sad
2,90458312;sad
3,23388677;sad
3,96300639;calm
3,98001384;calm
4,11501899;calm
3,8213819;calm
3,95927713;calm
3,98143599;calm
3,83395917;calm
3,89406062;calm
3,96973003;angry
4,06262094;angry
4,16368416;angry
3,88355075;angry
3,82437218;angry
3,8563037;angry
3,74545388;angry
3,97811835;angry
4,07548996;sad
4,06851409;sad
4,28732646;sad
4,34464876;sad
3,88843597;sad
3,71020707;sad
4,17060689;sad
3,99150144;sad
3,9933868;Surprised
3,91595235;Surprised
4,01104721;Surprised
3,99742377;Surprised
4,09100134;Surprised
4,0002105;Surprised
4,1373464;Surprised
4,10612662;Surprised
3,63418427;Happy
3,55169041;Happy
3,98413855;Happy
4,25185019;Happy
3,55290705;Happy
3,23771596;Happy
4,14464005;Happy
4,06975834;Happy
4,0682877;fearful
3,96388044;fearful
3,89718591;fearful
3,66926663;fearful
4,12454289;fearful
2,81721888;fearful
4,14339722;fearful
4,12990525;fearful
3,48704419;sad
3,30545819;sad
4,15367004;sad
3,57831266;sad
3,61002762;sad
3,14189516;sad
4,22421785;sad
4,12840922;sad
3,13442083;calm
3,18271961;calm
3,54837731;calm
3,11548491;calm
4,0822972;calm
3,67845155;calm
4,13957107;calm
4,16063947;calm
4,13137839;angry
4,05499964;angry
3,95702356;angry
3,94105879;angry
3,79852244;angry
2,93154315;angry
2,74790176;angry
3,37883853;angry
3,7597685;sad
3,92911037;sad
3,95549575;sad
4,19553116;sad
3,34462529;sad
3,31762432;sad
3,59188626;sad
2,99801269;sad
